科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること。,,,,
線形代数学Ⅰ,2.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること。,,,,
基礎物理学,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
物理学概論および演習A,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,後期,,,,,,
物理学概論および演習B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,後期,,,,,,
物理学概論および演習C,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,後期,,,,,,
科学技術概論A,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論B,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論C,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論D,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
ワークショップ,2.0,共通教育科目,工学基礎科目,シワョーックプ,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,共通教育科目,工学基礎科目,情報,必修,1,後期,基礎要件,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,専門教育科目,工学基礎,選択,1,後期,112解析,,,,,
線形代数学Ⅱ,2.0,専門教育科目,専門教育科目,工学基礎,選択,1,後期,110代数,,,,,
微分方程式Ⅰ,2.0,専門教育科目,専門教育科目,工学基礎,選択,2,前期,112解析,,,,,
ベクトル解析,2.0,専門教育科目,専門教育科目,工学基礎,選択,2,前期,112解析,,,,,
数値解析学,2.0,専門教育科目,専門教育科目,工学基礎,選択,2,前期,112解析,,,,,
フーリエ解析,2.0,専門教育科目,専門教育科目,工学基礎,選択,2,後期,112解析,,,,,
複素解析学Ⅰ,2.0,専門教育科目,専門教育科目,工学基礎,選択,3,前期,112解析,,,,,
インターンシップ,2.0,専門教育科目,専門教育科目,専門科目,選択,34,通年,,,,,,
回路基礎,2.0,専門教育科目,専門教育科目,専門科目,必修,1,前期,160工業,,,,,
電気電子工学リテラシー,2.0,専門教育科目,専門教育科目,専門科目,選択,1,後期,,,,,,
回路理論および演習Ⅰ,4.0,専門教育科目,専門教育科目,専門科目,必修,1,後期,160工業,,,,,
コンピュータプログラミングⅡ,2.0,専門教育科目,専門教育科目,専門科目,選択,2,前期,114コンピュ,,,,,
電気数学,2.0,専門教育科目,専門教育科目,専門科目,必修,2,後期,160工業,,,,,
回路理論および演習Ⅱ,4.0,専門教育科目,専門教育科目,専門科目,必修,2,前期,160工業,,,,,
電磁気学および演習Ⅰ,4.0,専門教育科目,専門教育科目,専門科目,必修,2,前期,160工業,,,,,
電気電子工学基礎実験Ⅰ,2.0,専門教育科目,専門教育科目,専門科目,必修,2,前期,160工業,,,,,
ディジタル回路,2.0,専門教育科目,専門教育科目,専門科目,選択,2,後期,1320情③,,,,,
電気電子計測,2.0,専門教育科目,専門教育科目,専門科目,選択,2,前期,1310情②,,,,,
電子回路Ⅰ,2.0,専門教育科目,専門教育科目,専門科目,必修,2,後期,160工業,,,,,
電磁気学および演習Ⅱ,4.0,専門教育科目,専門教育科目,専門科目,必修,2,後期,160工業,,,,,
電気電子工学基礎実験Ⅱ,2.0,専門教育科目,専門教育科目,専門科目,必修,2,後期,160工業,,,,,
ディジタルシステム,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,1320情③,,,,,
電気電子材料,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,160工業,,,,,
制御工学Ⅰ,2.0,専門教育科目,専門教育科目,専門科目,必修,3,前期,1310情②,,,,,
電気機器,2.0,専門教育科目,専門教育科目,専門科目,選択,2,後期,160工業,,,,,
電子回路Ⅱ,2.0,専門教育科目,専門教育科目,専門科目,選択,3,前期,160工業,,,,,
ディジタル信号処理,2.0,専門教育科目,専門教育科目,専門科目,選択,3,前期,1320情③,,,,,
システム工学,2.0,専門教育科目,専門教育科目,専門科目,選択,3,前期,1320情③,,,,,
物性基礎,2.0,専門教育科目,専門教育科目,専門科目,選択,2,後期,160工業,,,,,
電気電子工学総合実験Ⅰ,2.0,専門教育科目,専門教育科目,専門科目,必修,3,前期,160工業,,,,,
電気電子工学キャリアデザイン,1.0,専門教育科目,専門教育科目,専門科目,必修,3,前期,,,,,,
高電圧工学,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,160工業,,,,,
送配電工学,2.0,専門教育科目,専門教育科目,専門科目,選択,3,前期,160工業,,,,,
パワーエレクトロニクス,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,160工業,,,,,
電気法規,2.0,専門教育科目,専門教育科目,専門科目,選択,34,後期,160工業,,,,,
制御工学Ⅱ,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,1310情②,,,,,
高周波回路,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,160工業,,,,,
半導体デバイス工学,2.0,専門教育科目,専門教育科目,専門科目,選択,3,前期,160工業,,,,,
発電工学,2.0,専門教育科目,専門教育科目,専門科目,選択,3,後期,160工業,,,,,
電気電子工学総合実験Ⅱ,2.0,専門教育科目,専門教育科目,専門科目,必修,3,後期,160工業,アセスメント科目,,,,
電気電子工学総合ゼミ,2.0,専門教育科目,専門教育科目,専門科目,必修,3,後期,,アセスメント科目,,,,
AcademicPresentation,2.0,専門教育科目,専門教育科目,専門科目,必修,4,前期,1340情⑤,,,,,
電力系統工学,2.0,専門教育科目,専門教育科目,専門科目,選択,4,前期,160工業,,,,,
卒業研究,6.0,専門教育科目,専門教育科目,専門科目,必修,4,通年,,,,,,
エンジニアリング・デザイン概論,2.0,専門教育科目,専門教育科目,専門科目,必修,3,前期,,,,,,
電機設計および電気製図,2.0,専門教育科目,専門教育科目,専門科目,選択,4,後期,160工業,,,,,
代数学入門,2.0,専門教育科目,専門教育科目,教職関連科目,自由,1,後期,110代数,,,,,
線形代数学Ⅲ,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,前期,110代数,,,,,
数式処理,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,前期,114コンピュ,,,,,
代数学,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,後期,110代数,,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,前期,1310情②,,,,,
情報システムの基礎および演習,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,後期,1320情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,後期,1330情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門教育科目,専門教育科目,教職関連科目,自由,2,前期,1340情⑤,,,,,
幾何学,2.0,専門教育科目,専門教育科目,教職関連科目,自由,3,前期,111幾何,,,,,
解析学,2.0,専門教育科目,専門教育科目,教職関連科目,自由,3,前期,112解析,,,,,
微分幾何学,2.0,専門教育科目,専門教育科目,教職関連科目,自由,3,後期,111幾何,,,,,
職業指導,2.0,専門教育科目,専門教育科目,教職関連科目,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,専門教育科目,教職関連科目,自由,3,後期,160工業,,,,,
確率・統計Ⅰ,2.0,専門教育科目,専門教育科目,数学,自由,2,前期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,専門教育科目,数学,自由,2,後期,113確統,,,,,
微分方程式Ⅱ,2.0,専門教育科目,専門教育科目,数学,自由,2,後期,112解析,,,,,
複素解析学Ⅱ,2.0,専門教育科目,専門教育科目,数学,自由,3,後期,112解析,,,,,
